trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.5, 'e': 0.9841264739919907}",25,0,-118.15432049680389,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9839067381209536}",30,0,-142.6206672105068,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.9836853399694989}",25,0,-70.15594165304213,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9834622677689769}",20,0,-276.3509513775801,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 6}",0
64,False,"{'a': 0.5, 'e': 0.9832375096800432}",25,0,-193.8175381942893,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
65,False,"{'a': 0.5, 'e': 0.9830110537924366}",25,4,-91.8120101676535,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 2}",1
66,False,"{'a': 0.5, 'e': 0.9827828881247583}",20,0,-126.01391487579082,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.9825530006242565}",20,0,-19.69568105898989,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.9823213791666124}",30,0,-128.9191924120786,"{0: 18, 1: 7, 2: 3, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.9820880115557293}",20,0,-130.61770542510126,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.9818528855235259}",25,0,-48.3636764051832,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.981615988729732}",20,0,-116.92460612416578,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9813773087616885}",30,19,5.196078342957587,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.98113683313415}",25,13,16.018530760499957,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.9808945492890915}",20,0,-89.65839350237405,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9806504445955184}",25,0,-105.89050673893611,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9804045063492809}",20,0,-48.53757213520521,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.9801567217728907}",20,0,-206.1423952916218,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
78,False,"{'a': 0.5, 'e': 0.9799070780153445}",25,0,-122.86445724438278,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9796555621519483}",30,0,-149.73397292625722,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.9794021611841471}",30,0,-136.3704413797516,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.9791468620393606}",20,0,-135.61579619090796,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.97888965157082}",25,0,-94.77041412833634,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.9786305165574113}",25,0,-250.1124177048592,"{0: 11, 1: 5, 2: 3, 3: 2, 4: 4}",0
84,False,"{'a': 0.5, 'e': 0.9783694437035231}",20,0,-119.42147764460658,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.9781064196388978}",25,0,-170.7896125847792,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.9778414309184891}",20,0,-83.59946823569736,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9775744640223222}",25,0,-113.38024657474833,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9773055053553618}",20,0,-159.14698343748353,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.9770345412473822}",25,0,-177.57078410422446,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
